AuthorName,AuthorID,AffiliationName,AffiliationID,TopPaperCount
jiawei han,7E7A3A69,university of illinois at urbana champaign,0966B229,297
hanspeter seidel,7F425224,max planck society,08EF476D,275
philip s yu,7EAA8442,ibm,4FF45383,246
don towsley,7945B8D1,university of massachusetts amherst,01776B6C,183
qiang yang,7DB54482,hong kong university of science and technology,0BF77E37,158
xiaoou tang,811EE217,the chinese university of hong kong,0A97E0C1,139
thomas s huang,8020C741,university of illinois at urbana champaign,0966B229,139
michael stonebraker,772560B2,university of california berkeley,05B090CE,139
william t freeman,7DED7D82,massachusetts institute of technology,03D00B37,134
christos h papadimitriou,764C8B24,university of california berkeley,05B090CE,131
bernhard scholkopf,11BA75DA,max planck society,08EF476D,124
jeffrey f naughton,7BB77CB9,university of wisconsin madison,0810AAFA,122
raghu ramakrishnan,80FCA44F,university of wisconsin madison,0810AAFA,121
yunhao liu,7F046EF7,tsinghua university,05E79D01,118
jeffrey d ullman,2972FEB7,stanford university,05C86094,117
jeffrey xu yu,7E52D700,the chinese university of hong kong,0A97E0C1,112
david r karger,77F4D615,massachusetts institute of technology,03D00B37,112
yvo desmedt,7CDDE7E6,university college london,02B09E25,110
daniel cohenor,00986B65,tel aviv university,00FA1C18,105
barry boehm,7B4DA5C9,university of southern california,0011EAC4,102
pascal fua,13E99422,ecole polytechnique federale de lausanne,004E3300,101
onur mutlu,80C6C70F,carnegie mellon university,0477FFD3,100
andrew y ng,7D6E9EF4,stanford university,05C86094,100
ion stoica,80D58ED8,university of california berkeley,05B090CE,100
alex aiken,7B3AD69E,stanford university,05C86094,95
xuemin lin,7EB04793,university of new south wales,01E46A0B,94
narendra ahuja,7EE6247D,university of illinois at urbana champaign,0966B229,92
wenmei w hwu,468BA1A6,university of illinois at urbana champaign,0966B229,90
christopher d manning,80197C8B,stanford university,05C86094,90
hari balakrishnan,771E2668,massachusetts institute of technology,03D00B37,88
lei chen,7DD0E3D6,hong kong university of science and technology,0BF77E37,88
katsushi ikeuchi,6B8A3D94,university of tokyo,04756336,87
jennifer rexford,77221471,princeton university,01328BF3,87
martin rinard,147A0693,massachusetts institute of technology,03D00B37,86
luc van gool,7D67485A,eth zurich,021CC5D8,86
george varghese,799EFB29,university of california san diego,0229448F,85
lise getoor,764FCAE4,university of maryland college park,03FD8454,83
lei zhang,8559CDDA,hong kong polytechnic university,00D956B2,83
dimitris metaxas,76B79681,rutgers university,06194FDE,83
ran canetti,28FB3C46,ibm,4FF45383,82
charu c aggarwal,7FEE7CA3,ibm,4FF45383,82
zheng chen,810B4A93,microsoft,4CE6FC2D,81
xiaofang zhou,7EE5D112,university of queensland,09D7E4FA,81
james e smith,808676DA,university of wisconsin madison,0810AAFA,81
william w cohen,7E16380F,carnegie mellon university,0477FFD3,80
masaru kitsuregawa,174D2049,university of tokyo,04756336,79
jian sun,815BC45F,microsoft,4CE6FC2D,78
silvio micali,29B2C4A4,massachusetts institute of technology,03D00B37,77
minos garofalakis,7C880A04,bell labs,044C0559,77
dale schuurmans,6C5B8284,university of alberta,093456D7,75
kori inkpen,283C4F30,microsoft,4CE6FC2D,75
amir pnueli,816C1242,weizmann institute of science,03376F29,75
burhanuddin yeop majlis,6D0C7967,national university of malaysia,34C5E004,74
heng huang,7F682D69,university of texas at arlington,0B46E8A6,73
rajeev motwani,794A4CBC,stanford university,05C86094,72
mary czerwinski,7B7FF7CD,microsoft,4CE6FC2D,72
david e culler,14C1E392,university of california berkeley,05B090CE,72
stan z li,7F86B895,chinese academy of sciences,012E6F4E,71
leandros tassiulas,0F6CB05B,university of thessaly,08AF8B99,71
satinder singh,7D52AFAF,university of michigan,01A8C383,71
david a wood,806FA1FA,university of wisconsin madison,0810AAFA,69
maneesh agrawala,2ACC69A6,university of california berkeley,05B090CE,69
yuanyuan zhou,8075880A,university of illinois at urbana champaign,0966B229,69
nikos mamoulis,011FA885,university of hong kong,350410CF,68
gary mcgraw,7AFB5CF2,cigital,01EF00A9,68
roberto cipolla,7E38E131,university of cambridge,0003B055,67
qiang ji,7FAA8B2D,rensselaer polytechnic institute,09E1E653,66
barbara liskov,7C382DF3,massachusetts institute of technology,03D00B37,65
john h reif,7A43B1CB,duke university,0A2FAFA5,65
